ClauseLikeUnit(CLU)-value,Duration,Question,Eye&Brow-value,Head-value,MouthGestF-value,MouthGestF-question,Mouthing-value,Mouthing-question,Q-manual-value,Q-nonmanual-value,Q-position-value,Q-semantic-value,Q-social action-value,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,CA-value,RH-IDgloss-value,LH-IDgloss-value,LitTransl-value,FreeTransl-value,Comments-value
BL07F35WDC_CLU#017,931,Initiating,null,Null,SYLL:OOH,NO,NA,NA,Absent,Absent,NA,Polar,request confirmation,Single,NA,NA,NA,RELATIONSHIP,RELATIONSHIP,"but outside (the deaf club), friends (at) different pubs (have) stronger connection","When meeting friends at different pubs, it seems there is more of a stronger connection with each other.",
BL07F35WDC_CLU#024,972,Continuing,null,Nod,NA,NA,NA,NA,Absent,Present,NA,Polar,request confirmation,Fragment,NA,NA,NA,PT:LBUOY,LBUOY-TWO02,(you know what I mean?),"People now tend to travel to different pubs such as Derby, Cardiff and...","TJ: Must separate moves like these from earlier CLUs as she was not intending to ask a question from the outset. Will end up with lots of CLUs that are request-confirmation questions via nodding. This would be coded as CLU = Fragment and not counted in eg constituency analyses. GH: I don't think I would count this as G:WELL, if anything it is a kind of preservation of the PT/BUOY construction. I think the interactive communication here is primarily via them looking at each other and nodding."
BL07F35WDC_CLU#032,1434,Continuing,up,"Nod1, Null",NA,NA,"you, been",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BEEN, INVOLVE","PT:PRO2SG, BEEN, INVOLVE, PT:PRO2SG",you been involved (in a team) you?,"Yes but there's not enough players, aren't you involved?",JF: could be intransitive
BL07F35WDC_CLU#044,4280,Continuing,"null , up","HS , Null, Nod, Null",NA,NA,"some, one, from, swindon, drop",NA,Absent,Present,NA,Polar,request confirmation,Depend,NA,independent,NA,"SOME, NOW, SOME, ONE, FROM, SWINDON, PT:LOC, DROP","NOW, SOME, FROM, DROP",some...well one (team) from Swindon (you know?) drop-out,Some teams like the one from Swindon has dropped out as they're going to London to play poker and raise some money.,MattB: reject as SI because it switches to concrete example
BL07F35WDC_CLU#046,2300,Continuing,null,Null,NA,NA,"have, poker",NA,Absent,Absent,NA,Polar,request confirmation,Single,NA,NA,NA,"HAVE, FS:P-POKER, DEAL-CARDS","FS:P-POKER, DEAL-CARDS",(they) have poker playing-cards (event),Some teams like the one from Swindon has dropped out as they're going to London to play poker and raise some money.,
BL07F35WDC_CLU#065,1620,Continuing,null,Null,NA,NA,John Mancini,NA,Absent,Present,NA,Polar,Request confirmation,Single,NA,NA,NA,"PT:, SN:JOHN-MANCINI, RUN","FBUOY, RUN",you-know John Mancini? the runner?,Last year he had seen John Mancini run the Marathon and was compelled to try for himself.,"GH: I think this is one of those vague points, and it is in direction of present signer, so not invisible, GH: I think not CA but more descriptive, i.e. ""John Mancini that running guy"". What do you think? SG: I'm 50-50 on this. I've revised it a few times and I think her facial expression, shoulders seem to depict JM running the marathon so more inclined to go for CA but not 100%?"
BL07F35WDC_CLU#068,2178,Continuing-NR,squint,Wobble,NA,NA,"who, raise, money, for",Single,Multiple,Present,reprise (clause-final),Content,request information,Embed,contained,NA,CT:SIGNER'S-HUSBAND,"WHO, PAYMENT, RISE, MONEY, WHAT","RISE, MONEY",who (me) sponsor raise money for-what?,He thought about who would be the beneficary and thought about Sense where I started working last year.,SS:interesting using her body as path for verb
BL07F35WDC_CLU#097,3690,Initiating,down,"HS, Null",NA,NA,"been, who, who for, who, for",Multiple,Multiple,Present,reprise (non-clause-final),Content,OIR-restricted,Single,NA,NA,NA,"BEEN, WHO, PT:PRO3SG, WHO, PT:PRO3SG, G:ERM",,(you) been (play) you who-for you who-for...?,"Who are you playing for?, Which team are you playing for?","KC: IS:TEAM? GH: Again, I'm not sure if PT:PRO3 is appropriate here. Not clear if she is pointing to a location in space or to the other signer. I think it's more likely it's to the other signer (i.e. ""you""), and therefore should be PT:PRO2SG, KC: IS:TEAM? GH: See previous comment."
BL07F35WDC_CLU#102,2400,Initiating,"down, null","Forward, Null",NA,NA,"work, what, today",Single,Single,Present,post-predicate (non-reprise),Content,Request information,Single,NA,NA,NA,"PT:PRO2SG, WORK, WHAT, NOW, PT:PRO2SG",,your work what today/now?,What do you work for now?,
BL07F35WDC_CLU#103,650,Initiating,up,Nod,NA,NA,"you like, it",NA,Absent,Present,NA,Polar,Request confirmation,Single,NA,NA,NA,"LIKE, PT:",,you like (it)?,Do you like it?,
BL07F35WDC_CLU#107,5244,Initiating,null,Null,NA,NA,"my, husband, work, computer, software, engineer",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:POSS1SG(5), SPOUSE, WORK, G:ERM, COMPUTER, TECHNOLOGY, FS:E-ENGINEER","SPOUSE, WORK, G:ERM, COMPUTER, TECHNOLOGY, FS:E-ENGINEER, FBUOY",my husband work (as) computer software engineer (you know?),My husband works as a computer software engineer.,
BL07F35WDC_CLU#108,2310,Continuing,null,"Nod, Null",NA,NA,Aztec,NA,Absent,Absent,NA,Polar,request confirmation,Single,NA,NA,NA,"G:WELL, PT:LOC, FS:AZTEC, PT:LOC",FS:AZTEC,(yes) well he (work at) Aztec there (you know?),He works at Aztec.,"GH: point is not very enunciated, so perhaps IS not established well-enough (compared with PT at end of utterance). KC: How does one determine a well enough established IS? GH: My basic guideline is you have ot be able to draw the imaginary referent in the space/screen. If it's too much of a stretch, then either code it as uncertain or don't code it at all."
BL07F35WDC_CLU#134,2010,Initiating,up,"Null, HS",PRESSED-LIPS,YES,"(y)ou, going, out tonight",NA,Absent,Present,NA,Polar,Request confirmation,Single,NA,NA,NA,"PT:PRO2SG, GO, NIGHT, ALCOHOLIC, PT:PRO2SG, NOTHING",NIGHT,"you going-out tonight drinking, no?/you going-out tonight drinking, (or) you not?","Aren't you going out tonight drinking, no?","TJ: Mouth gesture is editorial, ""Hmm, I know your ways..."" MG SEEMS A BIT INTERPERSONAL ""HMMM?"" LIKE SHE KNOWS HE DOES A LOT AND IS LETTING HIM KNOW"
BL07F35WDC_CLU#136,3100,Initiating,null,"HS , Null, Nod",NA,NA,"same, my, husb(and), with, two, boy, go, watch, Bris(tol), Rover, Rover-prog",NA,Absent,Absent,NA,Other,Request confirmation,Single,NA,NA,NA,"SAME, PT:POSS1SG(1), SPOUSE, WITH, TWO, BOY, GO, LOOK, SN:BRISTOL(FS:B-BRISTOL), SN:ROVERS(FS:R-ROVERS), TYPICAL","SPOUSE, SN:BRISTOL(FS:B-BRISTOL), SN:ROVERS(FS:R-ROVERS)",(you) same my husband with (our) two boys go watch (the) Bristol Rovers them (you know?),It's the same for my husband when he goes with our two boys to watch Bristol Rovers...,"SS:THEIRS - bit odd , look like unfinished signing, or mixer of their match, they always go there.... ?? GH: what's the IS? Is it possible this is a sign name for Bristol Rover's?"
BL07F35WDC_CLU#138,2100,Continuing,null,Null,NA,NA,"have, season, ticket",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"HAVE, FS:S-SEASON, TICKET, EVERY-YEAR","FS:S-SEASON, TICKET, EVERY-YEAR",(they) have season tickets every-year/annually (you know?),They're going this afternoon with their season tickets which they renew every year.,
LN24M31BHC_LH_CLU#028,1045,Initiating,null,Null,NA,NA,NA,NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,SELF,,myself?,Myself?,
LN24M31BHC_LH_CLU#037,2420,Continuing-NR,up,"Null, Wobble",NA,NA,"who, that, office",Single,Multiple,Present,other,Content,outloud,Embed,contained,NA,CD:SIGNER,"RESPONSIBILITY, PT:DET, G:WELL","WHO, RESPONSIBILITY, PT:DET, OFFICE, G:WELL",who (will) take-responsibility (for) that office uhh..?,I wonder who will take the responsibility in the office.,
LN24M31BHC_LH_CLU#046,1680,Initiating,down,HS,NA,NA,"can't, transfer, can't",NA,Multiple,Present,reprise (clause-final),Polar,suggestion/offer/request,Single,NA,NA,NA,"CAN, MOVE, CAN-NOT","MOVE, CAN-NOT",can't (you) transfer (annual leave days) can't?,Can't you carry over the annual leave days?,
LN24M31BHC_LH_CLU#047,900,Continuing,up,Nod1,NA,NA,NA,NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,FINISH02,FINISH02,not-allowed! (absolutely cannot transfer annual leave days to following year),They'd be expired?,
LN24M31BHC_LH_CLU#054,7880,Continuing,"up, null, up, null, up, null, up","Backward, Null, Backward, Null, Backward, Null",NA,NA,"eighteen, seventeen, have to, do, book, book-prog, home",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,Single,NA,NA,CA:SIGNER,"PT:, EIGHTEEN, SEVENTEEN, G:WELL, MEANING, MUST, G:WELL, DO, PUT-FEET-UP, BOOKED, BOOKED, RELAX, PUT-FEET-UP, HOUSE02, PUT-FEET-UP, G:WELL","G:WELL, MEANING, MUST, USE02, G:WELL, DO, PUT-FEET-UP, BOOKED, BOOKED, RELAX, PUT-FEET-UP, HOUSE02, PUT-FEET-UP, G:WELL",(oh dear) but eighteen (or) seventeen (days annual leave accrued) means must use or-something do put-feet-up book kind-of-holiday relax put-feet-up (at) home relax (or something) you-know?,"But for eighteen or seventeen days, he would need to book them and then put his feet up at home, what would he do?",
LN24M31BHC_LH_CLU#080,4565,Initiating,"down, up, down","Null, Forward",NA,NA,"like, like-prog",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,OIR-restricted,Single,NA,NA,NA,,"PT:DET, SAME, PAST, G:WELL, NINETEEN, SEVEN03/EIGHT03, G:WELL",that same before well...nineteen seven--eighties or-something?,It's like the seventies or the eighties?,
LN24M31BHC_LH_CLU#085,3173,Initiating,down,"Forward, Null",NA,NA,"can, who",Single,Single,Present,pre-predicate,Polar,suggestion/offer/request,Single,NA,NA,CA:SIGNER,"CAN, CEILING(FALSE-START), PROFESSIONAL, WHO","PROFESSIONAL, SUMMON",can (you) ceiling professional summon-here someone (to fix ceiling)...,Surely you can get a professional?,"AW: This was originally annotated with UG CEILING PROFESSIONAL on the incorect (RH)tier. Have changed UG to LH tier but droppoed CEILIN from UG. If it should be included, presumably UG should remain on LH tier (CEILING produced on RH)"
LN24M31BHC_LH_CLU#086,1070,Continuing,up+wide,HS,NA,NA,NA,NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,"KNOW(FALSE-START), NOTHING, CAN-NOT",CAN-NOT,"no (you) cannot (summon professional, really??)",Oh really you can't?,
LN24M31BHC_LH_CLU#087,2560,Initiating,up,Nod1,NA,NA,"mean, off",NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,"MEANING, REMOVE02",REMOVE02,mean (you'd have to) take-off-plaster (from ceiling),So you'd have to remove them?,
LN24M31BHC_LH_CLU#088,1715,Continuing,up,Forward,NA,NA,again,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PAY, FBUOY","PAY, AGAIN",(and) pay-them again?,You'd have to pay for them again?,
LN24M31BHC_LH_CLU#090,3670,Continuing,"down, up",Null,NA,NA,"then, bathroom",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,Depend,NA,independent,NA,"NEXT, BATH02, PT:PRO2SG","NEXT, BATH02",then-next (you work/do) bathroom you?,You've finished your bedroom and now moved on to your bathroom?,
LN24M31BHC_LH_CLU#091,2065,Continuing-NR,"null, up",Nod1,NA,NA,NA,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,NEXT,"WILL, NEXT, NEXT",(I mean you) will next...,I mean your planned project afterwards.,
"LN24M31BHC_LH_CLU#098, LN24M31BHC_LH_CLU#099",910,Continuing,"null, up","HS, Nod",NA,NA,"not like it, give",NA,Absent,Present,NA,Polar,suggestion/offer/request,Depend,NA,"dependent, independent",NA,"LIKE-NOT, GIVE, GOOD","GIVE, GOOD","(if you) not-like (it)?, give-me (the bed/bedroom) alright?",If you don't like it then you could give it to me!,
LN24M31BHC_LH_CLU#103,830,Continuing,up,Up,NA,NA,"three, weeks",NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,WEEK-THREE02,"THREE02, WEEK-THREE02",(he's off) three weeks?,Three weeks?,
LN24M31BHC_LH_CLU#106,530,Initiating,up,Null,NA,NA,NA,NA,Absent,Present,NA,Polar,OIR,Fragment,NA,NA,NA,,PT:,first/far?,Is he?,
LN24M31BHC_LH_CLU#107,5770,Initiating,up,Null,NA,NA,"for, surprise, you",NA,Multiple,Present,reprise (clause-final),Polar,OIR-restricted,Single,NA,NA,NA,"PT:, FS:FOR(R), SURPRISE, PT:PRO2SG","FS:FOR(R), SURPRISE",ah for surprising you?,Ah for surprising you?,
LN24M31BHC_LH_CLU#111,1805,Initiating,down,Forward,NA,NA,"football, children",NA,Absent,Present,NA,Content,OIR-restricted,SharedCecho,NA,NA,NA,"FOOTBALL, FOOTBALL, CHILD","FOOTBALL, CHILD",(you mean) football? football? children (football)?,Children football?,
LN24M31BHC_LH_CLU#112,4480,Initiating,down,Forward,NA,NA,where,Single,Single,Present,other,Content,OIR-restricted,Single,NA,NA,NA,WHERE,,(oh) where?,Where is it taking place?,
LN24M31BHC_LH_CLU#113,820,Continuing,up,Forward,NA,NA,Coventry,NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,FS:COVENTRY(CV),"FS:COVENTRY(CV), PT:LOC",(oh in) Coventry up-there?,Oh in Coventry?,
LN24M31BHC_LH_CLU#118,1205,Initiating,"down, up",HS,NA,NA,drive,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"NO/PT:PRO2SG, DRIVE, NO",DRIVE,(but you) not driving no?,You won't be driving after that?,
LN24M31BHC_LH_CLU#119,1720,Continuing,up,"Null, Forward, Nod1",NA,NA,"drive, leave",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"PT:PRO2SG, DRIVE, TBUOY","DRIVE, LEAVE-IT-BE",you drive leave-there (leave the car there)?,How will you be planning to get home then?,
LN24M31BHC_LH_CLU#120,1630,Continuing,down,Null,NA,NA,"how, home, how",Multiple,Multiple,Present,other,Content,request information,Single,NA,NA,NA,"HOW02, HOME, HOW, G:WELL","HOW02, HOW, G:WELL",how (you) go-home how you?,How will you be planning to get home then?,
"LN24M31BHC_LH_CLU#122, LN24M31BHC_LH_CLU#123",1315,Continuing,"null, up",HS,NA,NA,"not, drinking",NA,Absent,Present,NA,Polar,request information,"Single, Single",NA,NA,NA,"NO, DRINK, NO, NOT",TBUOY,"(but you) not drinking?, no (not drinking at all)",Ah so you're not planning to drink at all?,
LN24M31BHC_LH_CLU#127,4315,Continuing,"up, down, up",Forward,NA,NA,"Russell Cooke, thirty, party",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:, SN:UNKNOWN(FS:R-UNKNOWN^FS:C-UNKNOWN), FBUOY, PARTY03","G:HEY, GO-TO, SN:UNKNOWN(FS:R-UNKNOWN^FS:C-UNKNOWN), AGE-THREE^ZERO, PARTY03",hey you-know (me) go-there Russell Cooke's age-thirty party?,No I am going to Russel Cooke's 30th birthday party.,
BM10M67WDNC_CLU#013,3350,Initiating-NR,up,Null,NA,NA,"work, six(ty) five",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, AGE-SIXTY-FIVE(SIX03)(FALSE-START), STILL, WORK, AGE-SIXTY-FIVE(SIX03^FIVE), PT:PRO2SG","PBUOY/PT:PRO2SG, WORK",hey-you age-sixty-- (you) still work age-sixty-five you?,"Were you still working when you were sixty five years old, or did you retire?","HP:Possible overlapping NPs - my schema cannot capture this. Both hands making the same sign independently, HP:I think this is a verb in context"
BM10M67WDNC_CLU#014,1556,Continuing,"up, down","Null, Nod1",NA,NA,"six(ty) five, retire",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"AGE-SIXTY-FIVE(SIX03^FIVE), RETIRE, PT:PRO2SG","RETIRE, FBUOY",age-sixty-five (you) retire you?,"Were you still working when you were sixty five years old, or did you retire?",
BM10M67WDNC_CLU#017,1350,Continuing,down,Nod,NA,NA,"still, school, teach",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"STILL, SCHOOL02, TEACH","STILL, SCHOOL02, TEACH",(you) still school teacher?,You're still a school teacher.,
BM10M67WDNC_CLU#032,870,Continuing,up,Nod1,NA,NA,"what, think",Single,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"PT:PRO2SG, THINK, PT:PRO2SG",,(what) you think you?,What do you think?,
BM10M67WDNC_CLU#034,3130,Initiating,up,Nod,NA,NA,"me, maybe, future",NA,Single,Present,post-predicate (non-reprise & clause-final),Content,outloud,Single,NA,NA,NA,"THINK, PT:PRO1SG, THINK, EVALUATE, PT:PRO1SG, PT:PRO1SG, FUTURE02, WHAT",,think me think evaluating maybe me (in) future what?,I do wonder about the future.,
MC24F64WHC_CLU#017,762,Initiating-NR,up,Nod,PRESSED-LIPS,YES,"still, now",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"G:WELL, STILL, NOW","STILL, NOW",well still now still now still now still (there is deaf club)?,Still now?,
MC24F64WHC_CLU#017,661,Continuing-NR,wide,Null,NA,NA,"still, now",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"STILL, NOW","STILL, NOW",well still now still now still now still (there is deaf club)?,Still now?,
MC24F64WHC_CLU#017,942,Continuing,up,Nod,NA,NA,"still, now, still",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"STILL, NOW, STILL","STILL, NOW, STILL",well still now still now still now still (there is deaf club)?,Still now?,
MC24F64WHC_CLU#024,1310,Continuing,up,Nod1,NA,NA,"been, egypt",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BEEN, EGYPT, PT:PRO2SG","BEEN, EGYPT",(you) been Egypt you?,Have you been to Egypt?,
MC24F64WHC_CLU#033,1804,Initiating,up,Null,NA,NA,who,Single,Single,Present,other,Other,OIR-restricted,Single,NA,NA,NA,WHO,,who (went there)?,Who?,
MC24F64WHC_CLU#036,1120,Initiating,up,Nod,NA,NA,"been, talk, been, talk",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BEEN, MENTION/TALK, BEEN, TALK","MENTION/TALK, BEEN, TALK",(you) been talk (to her) been talk?,What did she say about it?,
MC24F64WHC_CLU#037,951,Continuing,up,HS,NA,NA,"what, say, what, say",Multiple,Single,Present,pre-predicate,Content,request information,Single,NA,NA,NA,"WHAT, SAY, PT:PRO2SG, WHAT, SAY",,what say she what say?,What did she say about it?,JF: looks unmodified but congruent because of preceding verb
MC24F64WHC_CLU#051,1344,Continuing-NR,null,Forward,NA,NA,"know, bulgaria",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"KNOW, PT:PRO2SG, BULGARIA02",,Bulgaria know you Bulgaria? Bulgaria?,You know Bulgaria?,
MC24F64WHC_CLU#051,1150,Continuing,null,Null,NA,NA,bulgaria,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,BULGARIA02,,Bulgaria know you Bulgaria? Bulgaria?,You know Bulgaria?,
MC24F64WHC_CLU#060,2996,Initiating,"up , null",Null,NA,NA,"pontin, campt, know, where, pontin, camp",Single,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"FS:P-PONTIN, TENT, KNOW, WHERE, PT:PRO2SG, FS:PONTIN, TENT","FS:P-PONTIN, TENT, FS:PONTIN, TENT",Pontin's camp know where (is) Pontin's Camp?,"Yes, at Pontin's camp. Do you know where Pontins camp is?",
MC24F64WHC_CLU#064,626,Initiating,down,Null,NA,NA,NA,NA,Absent,Present,NA,Other,OIR-open,Fragment,NA,NA,NA,,,(huh?),Huh?,
MC24F64WHC_CLU#079,1512,Continuing,up,Null,NA,NA,"why not, go, why not, go",Multiple,Single,Present,pre-predicate,Content,request information,Single,NA,NA,NA,"WHY-NOT, GO, PT:PRO2SG, WHY-NOT, GO, PT:PRO2SG",,why-not go you why-not go you?,Why don't you come?,
MC24F64WHC_CLU#080,442,Initiating,up,HS,NA,NA,"never, heard",NA,Absent,Present,NA,Polar,request confirmation,SharedCecho,NA,NA,NA,"NEVER, HEAR",,(you) never heard? (well that's strange),You've never heard of it?,
MC24F64WHC_CLU#081,523,Initiating,down,Backward,NA,NA,NA,NA,Absent,Present,NA,Other,OIR-open-surprise,Fragment,NA,NA,NA,,,(really?),Really?,
"MC24F64WHC_CLU#082, MC24F64WHC_CLU#083",801,Continuing,down,Backward,NA,NA,"i, thought, you, know",NA,Absent,Present,NA,Polar,OIR-restricted,Embed,"pre-container, contained",NA,NA,"PT:PRO1SG, THINK, KNOW, PT:PRO2SG",,"me thought, you know (about it)?",I thought you knew.,
MC24F64WHC_CLU#085,1883,Initiating,down,Nod,NA,NA,"busy, what, busy, what, busy",Multiple,Multiple,Present,reprise (non-clause-final),Content,request information,Single,NA,NA,NA,"WORK, WHAT, WORK, WHAT, WORK","WORK, WORK, WORK",busy what busy what busy?,What are you so busy with?,
MC24F64WHC_CLU#094,2754,Continuing,squint,Null,NA,NA,"been, photo, scan",NA,Absent,Present,NA,Polar,request confirmation,Depend?,NA,independent,NA,"BEEN, CAMERA, FS:SCAN","CAMERA, FS:SCAN",been photo scan (you understand?),"When my grandaughter was first pregnant, she went for a scan.",
MC24F64WHC_CLU#115,1367,Initiating-NR,down,Null,NA,NA,"daughter, uni(versity), what",Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"DAUGHTER, GO, UNIVERSITY, WHAT","DAUGHTER, UNIVERSITY",(your) daughter go university what?,What's your daughter doing at university?,
MC24F64WHC_CLU#116,789,Continuing,down,Null,NA,NA,"what, for, what",Multiple,Multiple,Present,reprise (non-clause-final),Content,request information,Single,NA,NA,NA,"GO, WHAT, FS:FOR, WHAT, PT:PRO3SG",FS:FOR,go what for what she?,What's your daughter doing at university?,
MC24F64WHC_CLU#117,966,Initiating,down,Nod1,NA,NA,"for, what",Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"FS:FOR, WHAT",FS:FOR,(she's at university) for what?,What for?,
MC24F64WHC_CLU#119,759,Initiating,down,Null,NA,NA,"for, weekend",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"G:WELL, WEEKEND",WEEKEND,(they are home) for weekend?,For the weekend?,
MC24F64WHC_CLU#120,1849,Initiating,up,Forward,NA,NA,"stay, stay",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"HOLIDAY, PT:LOC, HOLIDAY, PT:LOC","HOLIDAY, HOLIDAY",(does she) stay over-there stay over-there?,Does she stay over there?,
MC24F64WHC_CLU#121,1425,Continuing,up,Nod,NA,NA,"same, son, same",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"SAME, FS:SON, SAME","SAME, FS:SON, SAME",(your) son (is the) same?,Is it the same for your son?,
MC24F64WHC_CLU#122,1117,Initiating,null,Nod1,NA,NA,warwick,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,M:WARWICK,,(Warwick?),"Warwick, okay",
MC24F64WHC_CLU#125,800,Initiating,null,Nod,NA,NA,then home,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,HOME,,(then he) come-home?,Then he'll be home?,
MC24F64WHC_CLU#126,1659,Initiating,down,Null,NA,NA,NA,NA,Absent,Present,NA,Other,OIR-open,Fragment,NA,NA,NA,,,(huh?),Huh?,
MC24F64WHC_CLU#127,840,Continuing,down,Sideward,NA,NA,why,Single,Single,Present,other,Content,OIR-restricted,Single,NA,NA,NA,"WHY, PT:PRO3SG",,why he/that?,Why?,
MC24F64WHC_CLU#128,1796,Initiating,up,Nod,NA,NA,"stay, where, same",Single,Single,Present,post-predicate (non-reprise),Content,OIR-restricted,Single,NA,NA,NA,"STAY/ACCOMMODATION, WHERE, SAME, PT:LOC/PT:PRO3SG/PT:DET, G:WELL","WHERE, SAME",(he) stay where (stay at) same (place) there?,Will he be staying in the same place?,
"MC24F64WHC_CLU#129, MC24F64WHC_CLU#130",1437,Initiating,up,Forward,NA,NA,"say, must, out",NA,Absent,Present,NA,Polar,OIR-restricted,Embed,"pre-container, contained",NA,NA,"PT:PRO2SG, SAY, MUST, HERD","MUST, HERD","you say, (he) must get-out",And you said they have to be out?,
MC24F64WHC_CLU#131,826,Continuing,down,Null,NA,NA,how,Single,Single,Present,other,Content,OIR-open,Single,NA,NA,NA,"HOW, INDECIPHERABLE",INDECIPHERABLE,how (does he get out)?,And you said they have to be out?,
MC24F64WHC_CLU#132,640,Initiating-NR,wide,HS,NA,NA,"no, pay",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"NOTHING, PAY",PAY,(he) not pay (rent)?,And he has to pay rent?,
MC24F64WHC_CLU#133,1120,Continuing,"null, squint",Nod,NA,NA,"have to, pay, rent",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"MUST, PAY, FS:RENT, MUST","PAY, FS:RENT, MUST",(he) have-to pay rent (yes)?,And he has to pay rent?,
"MC24F64WHC_CLU#135, MC24F64WHC_CLU#136",7825,Initiating,"down, squint, null","Sideward, Backward, Null",PRESSED-LIPS,YES,"you, remember, here, have, five side, football, women, five a side",NA,Absent,Present,NA,Polar,request confirmation,Embed,"pre-container, contained",NA,NA,"PT:PRO2SG, ADD-TO-SIGNBANK(REMEMBER02b), PAST, PT:LOC, HAVE, G:ERM, FS:B-UNKNOWN(FALSE-START), MATCH-GAME, FOOTBALL03, GIRL, MATCH-GAME","ADD-TO-SIGNBANK(REMEMBER02b), HAVE, G:ERM, FS:B-UNKNOWN(FALSE-START), MATCH-GAME, FOOTBALL03, MATCH-GAME","you remember, long-time-ago here have five-a-side women football five-a-side?","Do you remember the women's five-a-side football, years ago?",JF: maybe add this phonological variant to signbank?
MC24F64WHC_CLU#149,978,Initiating-NR,null,Down,NA,NA,"now, more",NA,Absent,Present,NA,Alternative,Alternative,Depend,NA,independent,NA,"NOW, WANT, DEPTH","NOW, DEPTH",now want more-coming-up?,"Is there anything coming up, or is it finished now?",
MC24F64WHC_CLU#150,1793,Continuing-NR,up,"HS, Null",NA,NA,"nothing, finish, finish, finish",NA,Absent,Present,NA,Polar,request confirmation,Depend,NA,dependent,NA,"NOTHING, FINISH, DEPTH, FINISH","NOTHING, FINISH, DEPTH, FINISH",(or) nothing all-finished finish more-coming-up finished?,"Is there anything coming up, or is it finished now?",
BL29F55WDC_LH_CLU#001,1475,Initiating-NR,down,Null,NA,NA,"hey, your, wedding",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,MARRY,"G:HEY, PT:POSS2SG, MARRY",hey your wedding yours?,Was it your wedding? Whose wedding was it? Hers?,
BL29F55WDC_LH_CLU#002,2400,Continuing,"up, down","Down, HS",NA,NA,"your, wedding, or",NA,Single,Present,post-predicate (non-reprise & clause-final),Alternative,OIR-restricted,Single,NA,NA,NA,MARRY,"PT:POSS2SG, PT:POSS2SG, MARRY, WHAT",your your wedding (or) what?,Was it your wedding? Whose wedding was it? Hers?,overlap either side
BL29F55WDC_LH_CLU#008,2285,Initiating,not visible,"Null, Nod1",NA,NA,"but you, Roman, Catholic",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,ROMAN-CATHOLIC,"PT:PRO3SG, ROMAN-CATHOLIC, PT:POSS3SG",(but) they (are) Roman Catholic?,Are they Roman Catholics?,
